,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
3522974,10478483,02/12/2019 08:16:00 AM,02/12/2019 09:25:15 AM,02/12/2019 09:25:15 AM,Closed,Case Resolved - Police Officer responded to request under CAD # 190430767.  Issue reported could not be validated.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Parking Enforcement,Intersection of BRIDGEVIEW WAY and PIERPOINT LN,BRIDGEVIEW WAY,6.0,Mission Bay,SOUTHERN,37.770189,-122.387907,"(37.770189, -122.387907)",Mobile/Open311,,34.0,1.0,10.0,4.0,9.0,14.0,3.0,310.0,3.0,20.0,20.0,,34.0,,10.0,,,,,,,1.0,,,,,34.0
47777,6337777,09/21/2016 11:21:19 PM,09/27/2016 11:09:49 AM,09/27/2016 11:09:49 AM,Closed,Case Transferred,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,207_Refused_to_Kneel_Bus_Lower_Steps,Intersection of SICKLES AVE and ALEMANY BLVD,SICKLES AVE,11.0,Outer Mission,INGLESIDE,37.710479736328,-122.454887390137,"(37.71047974, -122.45488739)",Phone,,66.0,9.0,1.0,28.0,6.0,9.0,4.0,28861.0,7.0,25.0,25.0,,66.0,,1.0,,,,,,,2.0,,,,,66.0
1435060,9847860,11/25/2018 11:19:00 AM,11/28/2018 07:47:00 AM,11/28/2018 07:47:00 AM,Closed,DPT Abandoned Vehicles- Gone on Arrival - 11/27/2018  @   1037  HRS #   168,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"352 RICHLAND AVE, SAN FRANCISCO, CA, 94110",RICHLAND AVE,9.0,Holly Park,INGLESIDE,37.735463,-122.418312,"(37.735463, -122.418312)",Web,http://mobile311.sfgov.org/reports/9847860/photos,61.0,9.0,2.0,2.0,7.0,2.0,4.0,28859.0,7.0,2.0,2.0,,61.0,,2.0,,,,,,,1.0,,,,,61.0
4712353,6814908,02/07/2017 09:35:26 AM,06/02/2020 04:30:54 PM,06/02/2020 04:30:54 PM,Closed,Administrative Closure - Administrative closure by Public Works,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of BECKETT ST and PACIFIC AVE,BECKETT ST,3.0,Chinatown,CENTRAL,37.79699,-122.406528,"(37.79699, -122.406528)",Mobile/Open311,http://mobile311.sfgov.org/reports/6814908/photos,104.0,6.0,3.0,6.0,10.0,3.0,1.0,308.0,1.0,4.0,4.0,,104.0,,3.0,,,,,,,2.0,,,,,104.0
2514474,7018805,04/06/2017 04:41:44 PM,04/10/2017 11:39:21 AM,04/10/2017 11:39:21 AM,Closed,Insufficient Information Provided,SFMTA - Parking Enforcement - G,General Request - MTA,request_for_service,parking_enforcement - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945257,9379028,08/09/2018 06:13:09 AM,08/14/2018 09:19:00 AM,08/14/2018 09:19:00 AM,Closed,"Case Transferred - To view status, see http://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo=201885091 or call (415)558-6570",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1433 BUSH ST, SAN FRANCISCO, CA, 94109",BUSH ST,3.0,Lower Nob Hill,NORTHERN,37.788501739502,-122.420867919922,"(37.78850174, -122.42086792)",Web,,50.0,4.0,3.0,21.0,10.0,13.0,6.0,28858.0,9.0,21.0,21.0,,50.0,,3.0,,,,,10.0,,2.0,,,,,50.0
4028487,13484900,02/12/2021 02:57:00 PM,02/12/2021 03:29:06 PM,02/12/2021 03:29:06 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,Intersection of THORNTON AVE and MERCURY ST,THORNTON AVE,10.0,Silver Terrace,BAYVIEW,37.731216430664,-122.401290893555,"(37.73121643, -122.40129089)",Phone,,87.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,87.0,,9.0,,,,,,,2.0,,,,,87.0
1495258,9673767,10/15/2018 10:28:00 AM,10/15/2018 11:27:00 AM,10/15/2018 11:27:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"918 PACIFIC AVE, SAN FRANCISCO, CA, 94133",PACIFIC AVE,3.0,Russian Hill,CENTRAL,37.7964941,-122.4104094,"(37.7964941, -122.4104094)",Web,http://mobile311.sfgov.org/reports/9673767/photos,107.0,6.0,3.0,6.0,10.0,3.0,1.0,308.0,1.0,4.0,4.0,,107.0,,3.0,,,,,,,2.0,,,,,107.0
1873206,4385197,01/12/2015 09:50:25 AM,01/12/2015 10:06:09 AM,01/12/2015 10:06:09 AM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of FRANKLIN ST and HICKORY ST,FRANKLIN ST,5.0,Civic Center,NORTHERN,37.775730695611,-122.420840123783,"(37.7757307, -122.42084012)",Mobile/Open311,http://mobile311.sfgov.org/reports/4385197/photos,21.0,4.0,11.0,9.0,11.0,7.0,6.0,28852.0,9.0,10.0,10.0,,21.0,1.0,11.0,,,1.0,,8.0,,1.0,,1.0,,,21.0
1786253,4677873,04/19/2015 03:51:58 PM,04/20/2015 05:47:11 AM,04/20/2015 05:47:11 AM,Closed,Scheduled,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Platform_Hazardous,Transit_Shelter_Platform_Hazardous,Intersection of MCALLISTER ST and GOUGH ST,MCALLISTER ST,5.0,Western Addition,NORTHERN,37.779672060962,-122.423541772724,"(37.77967206, -122.42354177)",Phone,,97.0,4.0,11.0,39.0,11.0,7.0,6.0,28852.0,9.0,41.0,41.0,,97.0,1.0,11.0,,,1.0,,,,2.0,,1.0,,,97.0
2987122,13714737,04/15/2021 04:30:00 PM,04/19/2021 06:00:20 AM,04/19/2021 06:00:20 AM,Closed,Case Resolved - Debris have been removed,RPD Park Service Area 2 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Beideman and O'Farrell Mini Park, , SAN FRANCISCO, CA, 94115",Beideman and O'Farrell Mini Park,5.0,Western Addition,NORTHERN,37.782547659837,-122.43857939054,"(37.78254766, -122.43857939)",Mobile/Open311,http://mobile311.sfgov.org/reports/13714737/photos,97.0,4.0,11.0,39.0,11.0,15.0,8.0,29490.0,5.0,41.0,41.0,,97.0,,11.0,,,,,,,2.0,,,,,97.0
4864696,14517390,10/24/2021 01:12:00 PM,10/26/2021 12:44:00 PM,10/26/2021 12:44:00 PM,Closed,"Case Resolved - PG&E outage at time of report  24 Oct 21 13:12 (1 day ago); TSS 2832,2833,2834",DPT - Traffic Signal - G,Streetlights,Streetlight - Other,Other on Concrete Pole,Intersection of 25TH AVE and CLEMENT ST,25TH AVE,1.0,Outer Richmond,RICHMOND,37.782024383545,-122.484870910645,"(37.78202438, -122.48487091)",Mobile/Open311,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,2.0,,,,,8.0
1193318,14673525,11/29/2021 06:27:00 PM,12/01/2021 05:19:51 PM,12/01/2021 05:19:51 PM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,"2395 HARRISON ST, SAN FRANCISCO, CA, 94110",HARRISON ST,9.0,Mission,MISSION,37.759096959019,-122.412449141771,"(37.75909696, -122.41244914)",Mobile/Open311,http://mobile311.sfgov.org/reports/14673525/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
3937033,10398655,01/24/2019 07:45:21 AM,01/25/2019 09:44:41 AM,01/25/2019 09:44:41 AM,Closed,"Case Resolved - 1/24/19 graffiti located on public wall on Castro St, transfer to BSES.kj",DPW Ops Queue,Graffiti,Graffiti on Building_residential,Building_residential - Not_Offensive,Intersection of DUBOCE AVE and CASTRO ST,DUBOCE AVE,8.0,Buena Vista,PARK,37.769137909671,-122.43584456865,"(37.76913791, -122.43584457)",Mobile/Open311,http://mobile311.sfgov.org/reports/10398655/photos,112.0,7.0,5.0,3.0,5.0,15.0,8.0,29492.0,5.0,9.0,9.0,,112.0,,5.0,,,,,,,1.0,,5.0,,,112.0
4251238,12939512,09/24/2020 09:31:58 AM,09/24/2020 12:39:00 PM,09/24/2020 12:39:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of FELL ST and FILLMORE ST,FELL ST,5.0,Hayes Valley,NORTHERN,37.774921826596,-122.430932155777,"(37.77492183, -122.43093216)",Mobile/Open311,http://mobile311.sfgov.org/reports/12939512/photos,22.0,4.0,11.0,9.0,11.0,7.0,6.0,29492.0,9.0,10.0,10.0,,22.0,,11.0,,,,,,,1.0,,,,,22.0
1371635,15514505,06/29/2022 02:30:00 PM,06/30/2022 06:00:00 AM,06/30/2022 06:00:00 AM,Closed,Case Resolved - Pickup completed,Recology_Overflowing,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"3584 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,2.0,Presidio Heights,RICHMOND,37.786381888501,-122.453160759946,"(37.78638189, -122.45316076)",Mobile/Open311,http://mobile311.sfgov.org/reports/15514505/photos,11.0,8.0,6.0,31.0,1.0,11.0,9.0,54.0,6.0,31.0,31.0,,11.0,,6.0,,,,,,,1.0,,,,,11.0
4945751,14695385,12/04/2021 05:12:00 PM,12/06/2021 05:10:28 PM,12/06/2021 05:10:28 PM,Closed,Case Resolved - Feedback recorded,Muni Feedback Received Queue,Muni Service Feedback,Muni - Complaint_Frequency_Reliability,Overcrowding,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653796,15923277,10/09/2022 09:12:00 AM,10/13/2022 12:51:51 PM,10/13/2022 12:51:51 PM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"524 CHURCH ST, SAN FRANCISCO, CA, 94114",CHURCH ST,8.0,Mission Dolores,MISSION,37.762486666667,-122.428361666667,"(37.76248667, -122.42836167)",Mobile/Open311,http://mobile311.sfgov.org/reports/15923277/photos,37.0,3.0,5.0,5.0,5.0,8.0,7.0,28862.0,4.0,3.0,3.0,,37.0,,5.0,,,,1.0,,,1.0,,5.0,,,37.0
4345231,12720632,08/01/2020 10:45:52 AM,08/02/2020 12:30:47 AM,08/02/2020 12:30:47 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"33 VANDEWATER ST, SAN FRANCISCO, CA, 94133",VANDEWATER ST,3.0,North Beach,CENTRAL,37.805194854736,-122.412551879883,"(37.80519485, -122.41255188)",Web,,106.0,6.0,3.0,23.0,10.0,3.0,1.0,308.0,1.0,23.0,23.0,,106.0,,3.0,,,,,,,2.0,,,,,106.0
2862309,14034159,07/08/2021 02:06:55 PM,07/11/2021 10:00:31 AM,07/11/2021 10:00:31 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Box - Big Signal Light,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,Intersection of 25TH ST and POTRERO AVE,25TH ST,9.0,Potrero Hill,MISSION,37.75174106,-122.40635481,"(37.75174106, -122.40635481)",Mobile/Open311,http://mobile311.sfgov.org/reports/14034159/photos,53.0,3.0,2.0,20.0,7.0,10.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,1.0,,3.0,,,53.0
2016115,9124170,06/11/2018 06:25:00 PM,06/12/2018 03:39:30 PM,06/12/2018 03:39:30 PM,Closed,Case Resolved - WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1805 SACRAMENTO ST, SAN FRANCISCO, CA, 94109",SACRAMENTO ST,2.0,Pacific Heights,NORTHERN,37.791266025977,-122.422813638145,"(37.79126603, -122.42281364)",Mobile/Open311,,102.0,4.0,6.0,30.0,1.0,13.0,6.0,28858.0,9.0,27.0,27.0,,102.0,,6.0,,,,,,,1.0,,,,,102.0
733829,4156154,10/29/2014 09:21:20 AM,10/29/2014 11:07:48 AM,10/29/2014 11:07:48 AM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"279 HICKORY ST, SAN FRANCISCO, CA, 94102",HICKORY ST,5.0,Hayes Valley,NORTHERN,37.775310516357,-122.423759460449,"(37.77531052, -122.42375946)",Web,,22.0,4.0,11.0,9.0,11.0,7.0,6.0,28852.0,9.0,10.0,10.0,,22.0,,11.0,,,,,,,1.0,,,,,22.0
929499,3281086,01/17/2014 09:05:39 AM,01/17/2014 04:39:14 PM,01/17/2014 04:39:14 PM,Closed,Case Resolved - SR00110254,DPT Construction Zone Permits Queue,Construction Zone Permits,Construction Zone Tow-away Permits for Empire  Construction &  Engineering,Empire  Construction &  Engineering,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343976,7600985,09/06/2017 03:59:47 PM,09/06/2017 04:56:40 PM,09/06/2017 04:56:40 PM,Closed,Case is a Duplicate,311 Supervisor Queue,Graffiti,Graffiti on City_receptacle,City_receptacle - Not_Offensive,Intersection of JACKSON ST and STOCKTON ST,JACKSON ST,3.0,Chinatown,CENTRAL,37.795839,-122.408299,"(37.795839, -122.408299)",Mobile/Open311,http://mobile311.sfgov.org/reports/7600985/photos,104.0,6.0,3.0,6.0,10.0,3.0,1.0,308.0,1.0,4.0,4.0,5.0,104.0,,3.0,5.0,,,5.0,,,2.0,,,,,104.0
715026,4191748,11/09/2014 12:33:22 PM,11/15/2014 10:05:00 AM,11/15/2014 10:05:00 AM,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1800 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,3.0,Polk Gulch,NORTHERN,37.793406158949,-122.421164863439,"(37.79340616, -122.42116486)",Mobile/Open311,http://mobile311.sfgov.org/reports/4191748/photos,105.0,4.0,3.0,32.0,10.0,13.0,6.0,28858.0,9.0,32.0,32.0,,105.0,,3.0,,,,,,,1.0,,,,,105.0
441973,6115657,07/24/2016 03:08:25 PM,07/29/2016 02:30:18 PM,07/29/2016 02:30:18 PM,Closed,Resolved per Clear Channel - Admin Closure,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Transit_shelter_platform,Transit_shelter_platform,Intersection of TRUMBULL ST and CONGDON ST,TRUMBULL ST,11.0,Mission Terrace,INGLESIDE,37.730879794108,-122.426145634443,"(37.73087979, -122.42614563)",Twitter,http://pic.twitter.com/p7FAEEv298,94.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,16.0,94.0,,1.0,,,,,,,2.0,,,,,94.0
4569939,12128243,02/24/2020 11:52:54 AM,02/24/2020 02:12:01 PM,02/24/2020 02:12:01 PM,Closed,Case Resolved - WASTE NOT FOUND                                   .,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"28 RAYMOND AVE, SAN FRANCISCO, CA, 94134",RAYMOND AVE,10.0,Visitacion Valley,INGLESIDE,37.712164185976,-122.403934998552,"(37.71216419, -122.403935)",Mobile/Open311,http://mobile311.sfgov.org/reports/12128243/photos,75.0,9.0,9.0,40.0,8.0,9.0,4.0,309.0,7.0,39.0,39.0,,75.0,,9.0,,,,,,,2.0,,,,,75.0
4983431,15433207,06/09/2022 09:44:00 AM,06/09/2022 10:43:59 AM,06/09/2022 10:43:59 AM,Closed,Case Resolved - Field Work has been completed. Memo:STATUSDATE per Mobile. DBAdd@06/09/2022 10:44:17AM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"1126 SHRADER ST, SAN FRANCISCO, CA, 94117",SHRADER ST,8.0,Ashbury Heights,PARK,37.764301300049,-122.450988769531,"(37.7643013, -122.45098877)",Phone,,114.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,,114.0,,11.0,,,,,,,1.0,,,,,114.0
3247413,11288111,08/18/2019 01:36:00 PM,08/30/2019 09:30:17 PM,08/30/2019 09:30:17 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Hazardous Materials,Glass,"2424 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,2.0,Lower Pacific Heights,RICHMOND,37.782813333333,-122.443091666667,"(37.78281333, -122.44309167)",Mobile/Open311,http://mobile311.sfgov.org/reports/11288111/photos,13.0,8.0,6.0,18.0,1.0,15.0,8.0,29490.0,5.0,16.0,16.0,,13.0,,6.0,,,,,,,1.0,,,,,13.0
3211358,11392055,09/09/2019 04:14:00 PM,09/11/2019 06:14:00 AM,09/11/2019 06:14:00 AM,Closed,Case is a Duplicate - 11394281,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,black - Toyota -  - unknow,"1450 HAWES ST, SAN FRANCISCO, CA, 94124",HAWES ST,10.0,Hunters Point,BAYVIEW,37.727066040039,-122.383163452148,"(37.72706604, -122.38316345)",Phone,,78.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,78.0,,9.0,,,,,,,2.0,,,,,78.0
2875750,14006067,07/01/2021 07:08:00 AM,07/02/2021 09:30:56 AM,07/02/2021 09:30:56 AM,Closed,Case Resolved - Outreach and Enforcement Incident created.   Outreach and Enforcement Incident created.,DPW Ops Queue,Litter Receptacles,Toters_left_out_24x7,,"453 14TH ST, SAN FRANCISCO, CA, 94103",14TH ST,9.0,Mission Dolores,MISSION,37.7679681,-122.4233926,"(37.7679681, -122.4233926)",Web,,37.0,3.0,5.0,20.0,5.0,8.0,7.0,28853.0,4.0,19.0,19.0,,37.0,,5.0,,,,,,,2.0,,,,,37.0
712869,4254642,11/30/2014 09:55:13 AM,12/05/2014 04:14:01 PM,12/05/2014 04:14:01 PM,Closed,Case Completed - resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 7TH AVE and CABRILLO ST,7TH AVE,1.0,Inner Richmond,RICHMOND,37.775319357699,-122.464943755537,"(37.77531936, -122.46494376)",Phone,,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,6.0,5.0,,4.0,7.0,,,7.0,,,1.0,,,,,5.0
1778237,4732440,05/09/2015 11:16:58 PM,05/12/2015 04:06:08 PM,05/12/2015 04:06:08 PM,Closed,Case Resolved - Ken Kwong had spoken to constituent about the VN BRT project changes coming later in the year and the large number of pedestrians using the east side crossing.  No further action is needed.,DPT - Other - G,General Request - MTA,request_for_service,parking_traffic_other - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4514561,15783395,09/06/2022 05:37:00 AM,09/07/2022 01:53:00 PM,09/07/2022 01:53:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1600 SHAFTER AVE, SAN FRANCISCO, CA, 94124",,,,,37.731250935147,-122.39073434606,"(37.73125094, -122.39073435)",Mobile/Open311,http://mobile311.sfgov.org/reports/15783395/photos,86.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,86.0,,9.0,,,,,,,2.0,,,,,86.0
2431078,7345966,07/07/2017 11:34:38 AM,07/23/2017 01:15:33 PM,07/23/2017 01:15:33 PM,Closed,"Case Resolved - trees not overgrown. some damage in path of travel. at curb, large displacement. expand basin to 6x5. sent to cmms",DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,"2000 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,3.0,Polk Gulch,NORTHERN,37.794097,-122.422775,"(37.794097, -122.422775)",Mobile/Open311,http://mobile311.sfgov.org/reports/7345966/photos,105.0,4.0,3.0,32.0,10.0,13.0,6.0,28858.0,9.0,32.0,32.0,,105.0,,3.0,,,,,,,1.0,,,,,105.0
1310790,15158704,03/30/2022 04:57:00 PM,04/08/2022 10:30:55 AM,04/08/2022 10:30:55 AM,Closed,Abated Full - Related tasks/inspections are complete,Shared Spaces Queue,Shared Spaces Violation,clear_path_of_travel,clear_path_of_travel at sidewalk,"250 MYRTLE ST, SAN FRANCISCO, CA, 94109",MYRTLE ST,2.0,Cathedral Hill,NORTHERN,37.78511569994,-122.422179695733,"(37.7851157, -122.4221797)",Mobile/Open311,,100.0,4.0,11.0,39.0,11.0,13.0,6.0,28858.0,9.0,41.0,41.0,,100.0,,11.0,,,,,,,1.0,,,,,100.0
3608434,1576730,10/20/2012 12:28:08 PM,10/22/2012 12:48:04 PM,10/22/2012 12:48:04 PM,Closed,Case Resolved - ADMIN CLOSED,DPT Signal Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of CLAY ST and DAVIS ST,CLAY ST,3.0,Financial District,CENTRAL,37.795314788818,-122.397972106934,"(37.79531479, -122.39797211)",Phone,,108.0,6.0,3.0,8.0,10.0,3.0,1.0,28860.0,1.0,6.0,6.0,,108.0,,3.0,,,,,,,1.0,,,,,108.0
3683405,1116732,05/02/2012 03:53:56 PM,05/03/2012 07:59:48 AM,05/03/2012 07:59:48 AM,Closed,Case Resolved - Meter Repaired,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,"1 SOUTH PARK, SAN FRANCISCO, CA, 94107",SOUTH PARK,6.0,South Beach,SOUTHERN,37.782165527344,-122.392974853516,"(37.78216553, -122.39297485)",Phone,,31.0,1.0,10.0,8.0,9.0,6.0,2.0,28856.0,2.0,6.0,6.0,,31.0,,10.0,,,,,,,1.0,,,,,31.0
5284936,2833075,09/16/2013 10:50:24 AM,09/18/2013 10:18:18 PM,09/18/2013 10:18:18 PM,Closed,Case Completed - resolved:,DPW Ops Queue,Graffiti,Graffiti on City_receptacle,City_receptacle - Offensive,"100 LARKIN ST, SAN FRANCISCO, CA, 94102",LARKIN ST,5.0,Civic Center,TENDERLOIN,37.779251011124,-122.415292058254,"(37.77925101, -122.41529206)",Mobile/Open311,http://mobile311.sfgov.org/reports/2833075/photos,21.0,5.0,10.0,36.0,9.0,7.0,10.0,28852.0,10.0,36.0,36.0,,21.0,1.0,10.0,,,1.0,,8.0,1.0,2.0,1.0,1.0,,,21.0
516551,5849586,05/10/2016 09:24:58 AM,05/23/2016 03:52:02 PM,05/23/2016 03:52:02 PM,Closed,Resolved per Clear Channel - Admin Closure,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Ad_Kiosk,Transit_Shelter_Ad_Kiosk,"6666 3RD ST, SAN FRANCISCO, CA, 94124",3RD ST,10.0,Bret Harte,BAYVIEW,37.718495372718,-122.397977560873,"(37.71849537, -122.39797756)",Mobile/Open311,http://mobile311.sfgov.org/reports/5849586/photos,88.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,88.0,,9.0,,,,,,,2.0,,,,,88.0
205779,551499,11/24/2009 08:57:05 PM,11/25/2009 11:24:51 AM,11/25/2009 11:24:51 AM,Closed,Case Transferred - # 350929,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,601_Delay_No_Show,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268755,474876,07/25/2009 07:31:17 AM,10/29/2009 03:14:03 PM,10/29/2009 03:14:03 PM,Closed,Case Resolved,Fire Department - G,General Request - FIRE DEPARTMENT,request_for_service,fire_department - request_for_service,Intersection of 43RD AVE and TARAVAL ST,43RD AVE,4.0,Outer Sunset,TARAVAL,37.7419090271,-122.501403808594,"(37.74190903, -122.50140381)",Phone,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
4349993,12711036,07/30/2020 07:17:27 AM,07/30/2020 07:04:40 PM,07/30/2020 07:04:40 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of 40TH AVE and IRVING ST,40TH AVE,4.0,Outer Sunset,TARAVAL,37.762589593619,-122.499521599257,"(37.76258959, -122.4995216)",Mobile/Open311,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,56.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
3743533,1036365,01/04/2012 06:11:50 PM,01/10/2012 11:27:37 AM,01/10/2012 11:27:37 AM,Closed,Case Transferred - 402435,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,611_Signs_Maps_and_Auto_Announcements,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001634,2851005,09/20/2013 10:16:19 AM,09/20/2013 02:05:11 PM,09/20/2013 02:05:11 PM,Closed,Case Resolved - Serviced @ 1:50pm,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of BROADWAY and OCTAVIA ST,BROADWAY,2.0,Pacific Heights,NORTHERN,37.795104980469,-122.428344726563,"(37.79510498, -122.42834473)",Integrated Agency,,102.0,4.0,6.0,30.0,1.0,13.0,6.0,28858.0,9.0,27.0,27.0,,102.0,,6.0,,,,,,,1.0,,,,,102.0
4532275,12214956,03/14/2020 11:07:41 AM,03/14/2020 12:44:00 PM,03/14/2020 12:44:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 25TH ST and CAPP ST,25TH ST,9.0,Mission,MISSION,37.750766788247,-122.417240080572,"(37.75076679, -122.41724008)",Mobile/Open311,http://mobile311.sfgov.org/reports/12214956/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
